"Hour";"Subscriber Country Name";"Subscriber Operator Name";"Origin Operator Name";"SUM Transactions";"# Successes";"Prefix"
"2016/12/13 06:00:00";"United Kingdom of Great Britain and Northern Ireland";"O2 (GB)";"MOVISTAR (PE)";"61";"32";"23410"
"2016/12/13 07:00:00";"Aruba";"SETAR GSM (AW)";"MOVISTAR (PE)";"4";"3";"36301"
"2016/12/13 07:00:00";"Chile";"ENTEL PCS (CL)";"MOVISTAR (PE)";"202";"99";"73001"
"2016/12/13 07:00:00";"Spain";"VODAFONE (ES)";"MOVISTAR (PE)";"3";"3";"21401"
"2016/12/13 07:00:00";"Spain";"VODAFONE (ES)";"MOVISTAR (PE)";"8";"8";"21406"
"2016/12/13 07:00:00";"Brazil";"VIVO (BR)";"MOVISTAR (PE)";"75";"40";"72411"
"2016/12/13 07:00:00";"Canada";"VIDEOTRON (CA)";"MOVISTAR (PE)";"2";"1";"302500"
"2016/12/13 07:00:00";"France";"SFR (FR)";"MOVISTAR (PE)";"9";"5";"20810"
"2016/12/13 07:00:00";"Jersey";"JERSEY TELECOMS (JE)";"MOVISTAR (PE)";"6";"3";"23450"
"2016/12/13 07:00:00";"Belgium";"PROXIMUS (BE)";"MOVISTAR (PE)";"13";"6";"20601"
"2016/12/13 07:00:00";"Colombia";"COMCEL (CO)";"MOVISTAR (PE)";"1";"1";"732101"
"2016/12/13 07:00:00";"Colombia";"MOVISTAR (CO)";"MOVISTAR (PE)";"50";"10";"732123"
"2016/12/13 07:00:00";"New Zealand";"VODAFONE (NZ)";"MOVISTAR (PE)";"1";"1";"53001"
"2016/12/13 07:00:00";"Argentine Republic";"PERSONAL (AR)";"MOVISTAR (PE)";"670";"208";"72234"
"2016/12/13 07:00:00";"Russian Federation";"MEGAFON (RU)";"MOVISTAR (PE)";"5";"1";"25002"
"2016/12/13 07:00:00";"India (Republic of)";"IDEA (KERALA AGRA) (IN)";"MOVISTAR (PE)";"7";"1";"40419"
"2016/12/13 07:00:00";"Bolivia (Republic of)";"NUEVATEL (BO)";"MOVISTAR (PE)";"58";"32";"73601"
"2016/12/13 07:00:00";"Congo (Republic of the)";"CELTEL (CG)";"MOVISTAR (PE)";"1";"1";"62901"
