"Hour";"Subscriber Country Name";"Subscriber Operator Name";"Origin Operator Name";"SUM Transactions";"# Successes";"Prefix"
"2016/12/12 10:00:00";"Switzerland (Confederation of)";"ORANGE (CH)";"MOVISTAR (PE)";"1";"1";"22803"
"2016/12/12 09:00:00";"Chile";"ENTEL PCS (CL)";"MOVISTAR (PE)";"227";"121";"73001"
"2016/12/12 09:00:00";"Italy";"TIM (IT)";"MOVISTAR (PE)";"9";"4";"22201"
"2016/12/12 09:00:00";"Japan";"DOCOMO (JP)";"MOVISTAR (PE)";"16";"7";"44010"
"2016/12/12 09:00:00";"Spain";"MOVISTAR (ES)";"MOVISTAR (PE)";"25517";"8060";"21407"
"2016/12/12 09:00:00";"Brazil";"VIVO (BR)";"MOVISTAR (PE)";"103";"28";"72411"
"2016/12/12 09:00:00";"France";"ORANGE F (FR)";"MOVISTAR (PE)";"149";"62";"20801"
"2016/12/12 09:00:00";"Mexico";"TELEFONICA MOVILES (MX)";"MOVISTAR (PE)";"81";"20";"334030"
"2016/12/12 09:00:00";"Austria";"H3G AUSTRIA (AT)";"MOVISTAR (PE)";"3";"3";"23205"
"2016/12/12 09:00:00";"Belgium";"MOBISTAR (BE)";"MOVISTAR (PE)";"31";"9";"20610"
"2016/12/12 09:00:00";"Belgium";"PROXIMUS (BE)";"MOVISTAR (PE)";"24";"10";"20601"
"2016/12/12 09:00:00";"Ecuador";"MOVISTAR (EC)";"MOVISTAR (PE)";"354";"115";"74000"
"2016/12/12 09:00:00";"Colombia";"OLA - TIGO (CO)";"MOVISTAR (PE)";"41";"20";"732111"
"2016/12/12 09:00:00";"Nicaragua";"TELEFONICA DE NICARAGUA (NI)";"MOVISTAR (PE)";"17";"4";"710300"
"2016/12/12 09:00:00";"Costa Rica";"MOVISTAR (CR)";"MOVISTAR (PE)";"1";"1";"71204"
"2016/12/12 09:00:00";"Argentine Republic";"PERSONAL (AR)";"MOVISTAR (PE)";"660";"185";"72234"
"2016/12/12 09:00:00";"Panama (Republic of)";"TELEFONICA PANAMA (PA)";"MOVISTAR (PE)";"24";"4";"714020"
"2016/12/12 09:00:00";"Bolivia (Republic of)";"NUEVATEL (BO)";"MOVISTAR (PE)";"110";"62";"73601"
"2016/12/12 09:00:00";"Bolivia (Republic of)";"MOVIL DE ENTEL (BO)";"MOVISTAR (PE)";"2";"1";"73602"
"2016/12/12 09:00:00";"Guatemala (Republic of)";"COMCEL - TIGO (GT)";"MOVISTAR (PE)";"2";"2";"70402"
"2016/12/12 09:00:00";"United States of America";"T-MOBILE (US)";"MOVISTAR (PE)";"3629";"1046";"310260"
"2016/12/12 09:00:00";"United States of America";"AT&T MOBILITY (US)";"MOVISTAR (PE)";"11";"3";"310170"
"2016/12/12 09:00:00";"United States of America";"AT&T MOBILITY (US)";"MOVISTAR (PE)";"1";"1";"310380"
"2016/12/12 09:00:00";"China (People's Republic of)";"CHINA MOBILE (CN)";"MOVISTAR (PE)";"14";"7";"46002"
