"Hour";"Subscriber Country Name";"Subscriber Operator Name";"Origin Operator Name";"SUM Transactions";"# Successes";"Prefix"
"2017/01/02 10:00:00";"France";"BOUYGUES TELECOM (FR)";"MOVISTAR (PE)";"10";"6";"20820"
"2017/01/02 09:00:00";"Thailand";"AWN (TH)";"MOVISTAR (PE)";"1";"1";"52003"
"2017/01/02 10:00:00";"Sweden";"TELENOR (SE)";"MOVISTAR (PE)";"67";"50";"24008"
"2017/01/02 10:00:00";"Korea (Republic of)";"SK TELECOM (KR)";"MOVISTAR (PE)";"5";"2";"45005"
"2017/01/02 10:00:00";"India (Republic of)";"VECL VODAFONE (MAHARASHTRA GOA) (IN)";"MOVISTAR (PE)";"2";"1";"40427"
"2017/01/02 09:00:00";"Korea (Republic of)";"SK TELECOM (KR)";"MOVISTAR (PE)";"5";"5";"45005"
"2017/01/02 09:00:00";"Argentine Republic";"MOVISTAR (AR)";"MOVISTAR (PE)";"698";"204";"72207"
"2017/01/02 09:00:00";"United Kingdom of Great Britain and Northern Ireland";"VODAFONE (GB)";"MOVISTAR (PE)";"20";"10";"23415"
"2017/01/02 09:00:00";"Italy";"H3G (IT)";"MOVISTAR (PE)";"2";"1";"22299"
"2017/01/02 09:00:00";"Portugal";"TMN (PT)";"MOVISTAR (PE)";"7";"2";"26806"
"2017/01/02 09:00:00";"Netherlands (Kingdom of the)";"VODAFONE (NL)";"MOVISTAR (PE)";"4180";"1154";"20404"
"2017/01/02 10:00:00";"Germany (Federal Republic of)";"O2 (DE)";"MOVISTAR (PE)";"257";"64";"26207"
"2017/01/02 10:00:00";"Austria";"H3G AUSTRIA (AT)";"MOVISTAR (PE)";"4";"1";"23205"
"2017/01/02 10:00:00";"China (People's Republic of)";"CHINA MOBILE (CN)";"MOVISTAR (PE)";"14";"8";"46000"
"2017/01/02 09:00:00";"Canada";"TELUS (CA)";"MOVISTAR (PE)";"13";"9";"302220"
"2017/01/02 09:00:00";"Japan";"DOCOMO (JP)";"MOVISTAR (PE)";"12";"6";"44010"
"2017/01/02 10:00:00";"Mexico";"IUSACELL (MX)";"MOVISTAR (PE)";"29";"11";"334050"
