"Hour";"Subscriber Country Name";"Subscriber Operator Name";"Origin Operator Name";"SUM Transactions";"# Successes";"Prefix"
"2016/11/11 10:00:00";"France";"SFR (FR)";"MOVISTAR (PE)";"1";"1";"20810"
"2016/11/11 10:00:00";"Norway";"TELENOR (NO)";"MOVISTAR (PE)";"1";"1";"24201"
"2016/11/11 10:00:00";"Ecuador";"CONECEL (EC)";"MOVISTAR (PE)";"2";"1";"74001"
"2016/11/11 10:00:00";"Ireland";"VODAFONE (IE)";"MOVISTAR (PE)";"12";"4";"27201"
"2016/11/11 10:00:00";"Portugal";"TMN (PT)";"MOVISTAR (PE)";"7";"4";"26806"
"2016/11/11 10:00:00";"Czech Republic";"VODAFONE (CZ)";"MOVISTAR (PE)";"8";"3";"23003"
"2016/11/11 10:00:00";"Russian Federation";"VIMPELCOM (RU)";"MOVISTAR (PE)";"9";"6";"25099"
"2016/11/11 10:00:00";"India (Republic of)";"BHARTI AIRTEL (Punjab) (IN)";"MOVISTAR (PE)";"1";"1";"40422"
"2016/11/11 10:00:00";"Poland (Republic of)";"T-MOBILE (PL)";"MOVISTAR (PE)";"1";"1";"26002"
"2016/11/11 10:00:00";"Bolivia (Republic of)";"MOVIL DE ENTEL (BO)";"MOVISTAR (PE)";"2";"2";"73602"
"2016/11/11 10:00:00";"Hungary (Republic of)";"T-MOBILE (HU)";"MOVISTAR (PE)";"9";"2";"21630"
"2016/11/11 10:00:00";"United States of America";"T-MOBILE (US)";"MOVISTAR (PE)";"532";"255";"310260"
"2016/11/11 10:00:00";"United States of America";"SPRINT PCS (US)";"MOVISTAR (PE)";"137";"69";"310120"
"2016/11/11 10:00:00";"United States of America";"AT&T MOBILITY (US)";"MOVISTAR (PE)";"24";"6";"310170"
"2016/11/11 10:00:00";"El Salvador (Republic of)";"TELEMOVIL - TIGO (SV)";"MOVISTAR (PE)";"3";"2";"70603"
"2016/11/11 10:00:00";"Germany (Federal Republic of)";"TELEKOM (DE)";"MOVISTAR (PE)";"5";"5";"26201"
"2016/11/11 10:00:00";"Switzerland (Confederation of)";"ORANGE (CH)";"MOVISTAR (PE)";"3";"2";"22803"
"2016/11/11 09:00:00";"Italy";"VODAFONE (IT)";"MOVISTAR (PE)";"7";"7";"22210"
"2016/11/11 09:00:00";"Spain";"VODAFONE (ES)";"MOVISTAR (PE)";"8";"6";"21406"
"2016/11/11 09:00:00";"Brazil";"VIVO (BR)";"MOVISTAR (PE)";"47";"25";"72406"
"2016/11/11 09:00:00";"Brazil";"VIVO (BR)";"MOVISTAR (PE)";"56";"25";"72410"
"2016/11/11 09:00:00";"Brazil";"VIVO BRATC (BR)";"MOVISTAR (PE)";"16";"5";"72423"
"2016/11/11 09:00:00";"Brazil";"TIM (RIO NORTE) (BR)";"MOVISTAR (PE)";"4";"3";"72402"
"2016/11/11 09:00:00";"Canada";"ROGERS WIRELESS (CA)";"MOVISTAR (PE)";"10";"5";"302720"
"2016/11/11 09:00:00";"France";"BOUYGUES TELECOM (FR)";"MOVISTAR (PE)";"23";"10";"20820"
"2016/11/11 09:00:00";"Greece";"WIND HELLAS (GR)";"MOVISTAR (PE)";"12";"2";"20210"
"2016/11/11 09:00:00";"Mexico";"TELEFONICA MOVILES (MX)";"MOVISTAR (PE)";"57";"20";"334030"
"2016/11/11 09:00:00";"Austria";"T-MOBILE (AT)";"MOVISTAR (PE)";"2";"1";"23207"
"2016/11/11 09:00:00";"Portugal";"OPTIMUS (PT)";"MOVISTAR (PE)";"5";"3";"26803"
"2016/11/11 09:00:00";"Nicaragua";"TELEFONICA DE NICARAGUA (NI)";"MOVISTAR (PE)";"16";"3";"710300"
"2016/11/11 09:00:00";"Israel (State of)";"PELEPHONE (IL)";"MOVISTAR (PE)";"1";"1";"42503"
"2016/11/11 09:00:00";"Argentine Republic";"MOVISTAR (AR)";"MOVISTAR (PE)";"153";"74";"72207"
"2016/11/11 09:00:00";"Russian Federation";"VIMPELCOM (RU)";"MOVISTAR (PE)";"5";"4";"25099"
"2016/11/11 09:00:00";"India (Republic of)";"VEL VODAFONE (MUMBAI) (IN)";"MOVISTAR (PE)";"3";"2";"40420"
"2016/11/11 09:00:00";"Cyprus (Republic of)";"CYTA (CY)";"MOVISTAR (PE)";"1";"1";"28001"
"2016/11/11 09:00:00";"Poland (Republic of)";"T-MOBILE (PL)";"MOVISTAR (PE)";"2";"2";"26002"
"2016/11/11 09:00:00";"Bolivia (Republic of)";"MOVIL DE ENTEL (BO)";"MOVISTAR (PE)";"4";"3";"73602"
"2016/11/11 09:00:00";"Guatemala (Republic of)";"TELEFONICA GUATEMALA (GT)";"MOVISTAR (PE)";"2";"1";"70403"
"2016/11/11 09:00:00";"Indonesia (Republic of)";"TELKOMSEL (ID)";"MOVISTAR (PE)";"19";"2";"51010"
"2016/11/11 09:00:00";"United States of America";"T-MOBILE (US)";"MOVISTAR (PE)";"381";"167";"310260"
"2016/11/11 09:00:00";"United States of America";"SPRINT PCS (US)";"MOVISTAR (PE)";"82";"34";"310120"
"2016/11/11 09:00:00";"China (People's Republic of)";"CHINA MOBILE (CN)";"MOVISTAR (PE)";"11";"8";"46000"
